slug,name,url,current_pathway,current_focus,current_liveliness,current_employees,linkedin_slug,issue,detail,edit_action,edit_url,edit_pathway,edit_focus,edit_liveliness,edit_notes
3r-biophosphate,3R-BioPhosphate,https://biophosphate.net/,Biochar,side_business,🟢 Active,2,terra-humana-clean-technology-development-engineering-and-manufacturing-ltd.,linkedin_slug_mismatch,LinkedIn slug 'terra-humana-clean-technology-development-engineering-and-manufacturing-ltd.' shares no tokens with company name,,,,,,
airsmat,AIRSMAT,https://airsmat.com,Biochar,supplier,🟢 Active,21,airsmat,pathway_mismatch,description keywords suggest Enabling Tech (3 hits) but pathway_primary=Biochar (2 hits),,,,,,
arc,ARC,https://a-r-c.dk/,BECCS,side_business,🟢 Active,268,amagerressourcecenter,linkedin_slug_mismatch,LinkedIn slug 'amagerressourcecenter' shares no tokens with company name,,,,,,
awn,AWN,https://www.awn-online.de/,Biochar,side_business,🟢 Active,2,kwin-kreislaufwirtschaft-neckar-odenwald-a%c3%b6r,linkedin_slug_mismatch,LinkedIn slug 'kwin-kreislaufwirtschaft-neckar-odenwald-a%c3%b6r' shares no tokens with company name,,,,,,
accend,Accend,https://www.accend.earth/,Biochar,ecosystem,🟢 Active,8,accend-conusulting,pathway_mismatch,description keywords suggest Enabling Tech (3 hits) but pathway_primary=Biochar (2 hits),,,,,,
ag-carbon-solutions,Ag Carbon Solutions,https://agcarbonsolutions.com/,Biomass Burial,supplier,🟡 Moderate,2,agricultural-fuels-corp.,linkedin_slug_mismatch,LinkedIn slug 'agricultural-fuels-corp.' shares no tokens with company name,,,,,,
airhive,Airhive,https://www.airhive.earth/,DAC,supplier,🟢 Active,19,carbonnet-limited,linkedin_slug_mismatch,LinkedIn slug 'carbonnet-limited' shares no tokens with company name,,,,,,
alithic,Alithic,https://alithic.com/,DAC,supplier,🟢 Active,10,earth-repair,linkedin_slug_mismatch,LinkedIn slug 'earth-repair' shares no tokens with company name,,,,,,
alpine-x,Alpine X,https://alpinex.tech/,DAC,supplier,🟢 Active,1,carbon15,linkedin_slug_mismatch,LinkedIn slug 'carbon15' shares no tokens with company name,,,,,,
alto,Alto,https://www.altoingredients.com/,BECCS,side_business,🟢 Active,223,pacific-ethanol,linkedin_slug_mismatch,LinkedIn slug 'pacific-ethanol' shares no tokens with company name,,,,,,
